credit_history,credit_amount,savings_status,employment,installment_commitment,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
existing paid,3812.0,100<=X<500,0,1.0,none,4,car,23,none,own,1,skilled,1,yes,yes,1
critical/other existing credit,1154.0,100<=X<500,0,4.0,none,4,real estate,57,none,own,3,unskilled resident,1,none,yes,1
existing paid,1657.0,<100,2,2.0,none,2,real estate,27,none,own,1,skilled,1,none,yes,1
existing paid,1603.0,<100,7,4.0,none,4,car,55,none,own,1,skilled,1,none,yes,1
critical/other existing credit,5302.0,<100,7,2.0,none,4,no known property,36,none,for free,3,high qualif/self emp/mgmt,1,yes,yes,1
critical/other existing credit,2748.0,<100,7,2.0,none,4,no known property,57,bank,for free,3,unskilled resident,1,none,yes,1
critical/other existing credit,1231.0,<100,7,3.0,none,4,real estate,32,none,own,2,unskilled resident,2,none,no,1
existing paid,802.0,<100,7,4.0,none,3,car,37,none,own,1,skilled,2,none,yes,0
critical/other existing credit,6304.0,no known savings,7,4.0,none,4,real estate,36,none,own,2,skilled,1,none,yes,1
existing paid,1533.0,<100,0,4.0,none,3,car,38,stores,own,1,skilled,1,yes,yes,1
existing paid,8978.0,<100,7,1.0,none,4,life insurance,45,none,own,1,high qualif/self emp/mgmt,1,yes,no,0
existing paid,999.0,no known savings,7,4.0,none,2,car,25,none,own,2,skilled,1,none,yes,1
existing paid,2662.0,no known savings,5,4.0,none,3,life insurance,32,none,own,1,skilled,1,none,no,1
critical/other existing credit,1402.0,500<=X<1000,5,3.0,none,4,car,37,none,rent,1,skilled,1,yes,yes,1
all paid,12169.0,no known savings,0,4.0,co applicant,4,no known property,36,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,3060.0,<100,5,4.0,none,4,real estate,28,none,own,2,skilled,1,none,yes,0
existing paid,11998.0,<100,0,1.0,none,1,no known property,34,none,own,1,unskilled resident,1,yes,yes,0
existing paid,2697.0,<100,2,1.0,none,2,real estate,32,none,own,1,skilled,2,none,yes,1
critical/other existing credit,2404.0,<100,2,2.0,none,2,car,26,none,own,2,skilled,1,none,yes,1
existing paid,1262.0,no known savings,7,2.0,none,4,life insurance,49,none,own,1,unskilled resident,1,yes,yes,1
existing paid,4611.0,<100,0,1.0,none,4,life insurance,32,none,own,1,skilled,1,none,yes,0
existing paid,1901.0,100<=X<500,2,4.0,none,4,car,29,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,1
critical/other existing credit,3368.0,>=1000,7,3.0,none,4,no known property,23,none,rent,2,skilled,1,yes,yes,1
existing paid,1574.0,<100,2,4.0,none,2,real estate,50,none,own,1,skilled,1,none,yes,1
all paid,1445.0,no known savings,5,4.0,none,4,car,49,bank,own,1,unskilled resident,1,none,yes,1
critical/other existing credit,1520.0,no known savings,7,4.0,none,4,life insurance,63,none,own,1,skilled,1,none,yes,1
critical/other existing credit,3878.0,100<=X<500,0,4.0,none,2,car,37,none,own,1,skilled,1,yes,yes,1
existing paid,10722.0,<100,0,1.0,none,1,real estate,35,none,own,1,unskilled resident,1,yes,yes,1
existing paid,4788.0,<100,5,4.0,none,3,life insurance,26,none,own,1,skilled,2,none,yes,1
delayed previously,7582.0,100<=X<500,0,2.0,none,4,no known property,31,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,1092.0,<100,2,4.0,guarantor,4,real estate,49,none,own,2,skilled,1,yes,yes,1
delayed previously,1024.0,<100,0,4.0,none,4,real estate,48,stores,own,1,skilled,1,none,yes,0
existing paid,1076.0,<100,2,2.0,none,2,real estate,26,none,own,1,skilled,1,yes,no,1
existing paid,9398.0,<100,0,1.0,none,4,car,28,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,0
critical/other existing credit,6419.0,<100,7,2.0,none,4,no known property,44,none,for free,2,high qualif/self emp/mgmt,2,yes,yes,1
critical/other existing credit,4796.0,<100,7,4.0,none,4,no known property,56,none,for free,1,skilled,1,none,yes,1
critical/other existing credit,7629.0,no known savings,7,4.0,none,2,car,46,bank,own,2,high qualif/self emp/mgmt,2,none,yes,1
existing paid,9960.0,<100,0,1.0,none,2,car,26,none,own,1,skilled,1,yes,yes,0
existing paid,4675.0,no known savings,0,1.0,none,4,car,20,none,rent,1,skilled,1,none,yes,1
existing paid,1287.0,no known savings,7,4.0,co applicant,2,life insurance,45,none,own,1,unskilled resident,1,none,no,1
existing paid,2515.0,<100,2,3.0,none,4,real estate,43,none,own,1,skilled,1,yes,yes,1
critical/other existing credit,2745.0,>=1000,5,3.0,none,2,car,32,none,own,2,skilled,1,yes,yes,1
existing paid,672.0,<100,0,1.0,none,4,real estate,54,none,own,1,unemp/unskilled non res,1,yes,yes,1
no credits/all paid,3804.0,<100,2,4.0,none,1,car,42,none,own,1,skilled,1,yes,yes,0
critical/other existing credit,1344.0,no known savings,5,4.0,none,2,real estate,37,bank,own,2,unskilled resident,2,none,yes,0
critical/other existing credit,1038.0,<100,5,4.0,co applicant,3,life insurance,49,none,own,2,skilled,1,yes,yes,1
critical/other existing credit,10127.0,500<=X<1000,2,2.0,none,2,no known property,44,bank,for free,1,skilled,1,none,yes,0
existing paid,1543.0,>=1000,2,4.0,none,2,real estate,33,none,own,1,skilled,1,none,yes,1
existing paid,4811.0,no known savings,5,2.0,none,4,life insurance,24,stores,rent,1,unskilled resident,1,none,yes,1
existing paid,727.0,100<=X<500,0,4.0,none,3,no known property,33,none,own,1,unskilled resident,1,yes,yes,0
existing paid,1237.0,<100,2,3.0,none,4,real estate,24,none,own,1,skilled,1,none,yes,0
existing paid,276.0,<100,2,4.0,none,4,real estate,22,none,rent,1,unskilled resident,1,none,yes,1
existing paid,5381.0,no known savings,0,3.0,none,4,no known property,40,bank,for free,1,unemp/unskilled non res,1,yes,yes,1
existing paid,5511.0,100<=X<500,2,4.0,none,1,car,25,stores,own,1,skilled,1,none,yes,1
existing paid,3749.0,<100,0,2.0,none,4,car,26,none,own,1,skilled,1,none,yes,1
existing paid,685.0,<100,5,2.0,none,3,car,25,bank,own,1,unskilled resident,1,none,yes,0
existing paid,1494.0,no known savings,0,1.0,none,2,real estate,29,none,own,1,unskilled resident,2,none,no,1
all paid,2746.0,<100,7,4.0,none,4,car,31,bank,own,1,skilled,1,none,yes,0
existing paid,708.0,<100,2,2.0,guarantor,3,life insurance,38,none,own,1,unskilled resident,2,none,yes,1
existing paid,4351.0,no known savings,2,1.0,none,4,life insurance,48,none,own,1,unskilled resident,1,yes,yes,1
critical/other existing credit,701.0,<100,2,4.0,none,2,car,32,none,own,2,skilled,1,none,yes,1
delayed previously,3643.0,<100,7,1.0,none,4,life insurance,27,none,own,2,unskilled resident,1,none,yes,1
critical/other existing credit,4249.0,<100,0,4.0,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,none,yes,0
existing paid,1938.0,<100,0,4.0,none,3,life insurance,32,none,own,1,skilled,1,none,yes,0
existing paid,2910.0,<100,5,2.0,none,1,no known property,34,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,2659.0,>=1000,2,4.0,none,2,car,28,none,own,1,skilled,1,none,yes,1
critical/other existing credit,1028.0,<100,2,4.0,none,3,real estate,36,none,own,2,skilled,1,none,yes,1
critical/other existing credit,3398.0,<100,5,1.0,none,4,real estate,39,none,own,2,unskilled resident,1,none,no,1
critical/other existing credit,5801.0,no known savings,7,2.0,none,4,life insurance,49,none,rent,1,skilled,1,yes,yes,1
existing paid,1525.0,>=1000,5,4.0,none,3,car,34,none,own,1,skilled,2,yes,yes,1
existing paid,4473.0,<100,7,4.0,none,2,car,31,none,own,1,skilled,1,none,yes,1
existing paid,1068.0,<100,7,4.0,none,4,car,28,none,own,1,skilled,2,none,yes,1
critical/other existing credit,6615.0,<100,0,2.0,none,4,no known property,75,none,for free,2,high qualif/self emp/mgmt,1,yes,yes,1
critical/other existing credit,1864.0,100<=X<500,2,4.0,none,2,real estate,30,none,own,2,skilled,1,none,yes,0
existing paid,7408.0,100<=X<500,0,4.0,none,2,life insurance,24,none,own,1,high qualif/self emp/mgmt,1,none,yes,0
critical/other existing credit,11590.0,100<=X<500,2,2.0,none,4,car,24,bank,rent,2,unskilled resident,1,none,yes,0
no credits/all paid,4110.0,<100,7,3.0,none,4,no known property,23,bank,rent,2,skilled,2,none,yes,0
critical/other existing credit,3384.0,<100,2,1.0,none,4,real estate,44,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,0
existing paid,2101.0,<100,0,2.0,guarantor,4,life insurance,23,none,own,1,unskilled resident,1,none,yes,1
existing paid,1275.0,no known savings,2,4.0,none,2,car,24,none,rent,1,skilled,1,none,yes,0
existing paid,4169.0,<100,2,4.0,none,4,life insurance,28,none,own,1,skilled,1,none,yes,1
existing paid,1521.0,<100,2,4.0,none,2,car,31,none,own,1,unskilled resident,1,none,yes,1
critical/other existing credit,5743.0,<100,0,2.0,none,4,no known property,24,none,for free,2,skilled,1,yes,yes,1
existing paid,3599.0,<100,5,1.0,none,4,car,26,none,rent,1,unskilled resident,1,none,yes,1
existing paid,3213.0,500<=X<1000,0,1.0,none,3,real estate,25,none,rent,1,skilled,1,none,yes,1
existing paid,4439.0,<100,7,1.0,co applicant,1,real estate,33,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,3949.0,<100,0,1.0,guarantor,1,life insurance,37,none,own,1,unskilled resident,2,none,yes,1
critical/other existing credit,1459.0,<100,2,4.0,none,2,car,43,none,own,1,unskilled resident,1,none,yes,1
critical/other existing credit,882.0,<100,0,4.0,guarantor,4,real estate,23,none,own,2,skilled,1,none,yes,1
existing paid,3758.0,500<=X<1000,0,1.0,none,4,no known property,23,none,rent,1,unemp/unskilled non res,1,none,yes,1
delayed previously,1743.0,100<=X<500,2,1.0,none,2,real estate,34,none,own,2,unskilled resident,1,none,yes,1
critical/other existing credit,1136.0,>=1000,7,4.0,none,3,no known property,32,none,for free,2,skilled,2,none,yes,0
existing paid,1236.0,<100,0,1.0,none,4,real estate,23,none,rent,1,skilled,1,yes,yes,1
existing paid,959.0,<100,2,1.0,none,2,car,29,none,own,1,skilled,1,none,no,0
critical/other existing credit,3229.0,no known savings,0,2.0,none,4,no known property,38,none,own,1,high qualif/self emp/mgmt,1,yes,yes,1
no credits/all paid,6199.0,<100,2,4.0,none,2,life insurance,28,none,rent,2,skilled,1,yes,yes,0
existing paid,727.0,500<=X<1000,7,4.0,none,4,no known property,46,none,for free,1,skilled,1,yes,yes,1
existing paid,1246.0,<100,0,4.0,none,2,real estate,23,stores,own,1,unskilled resident,1,none,yes,0
critical/other existing credit,2331.0,no known savings,7,1.0,co applicant,4,real estate,49,none,own,1,skilled,1,yes,yes,1
delayed previously,4463.0,<100,2,4.0,none,2,car,26,none,own,2,high qualif/self emp/mgmt,1,yes,yes,0
existing paid,776.0,<100,2,4.0,none,2,real estate,28,none,own,1,skilled,1,none,yes,1
existing paid,2406.0,<100,5,4.0,none,4,real estate,23,none,rent,1,skilled,1,none,yes,0
existing paid,1239.0,no known savings,2,4.0,none,4,no known property,61,none,for free,1,skilled,1,none,yes,1
existing paid,3399.0,no known savings,7,2.0,none,3,car,37,none,own,1,high qualif/self emp/mgmt,1,none,yes,1
delayed previously,2247.0,<100,2,2.0,none,2,car,36,stores,own,2,skilled,1,yes,yes,1
existing paid,1766.0,<100,2,1.0,none,2,life insurance,21,none,rent,1,skilled,1,none,yes,1
existing paid,2473.0,<100,0,4.0,none,1,car,25,none,own,1,unemp/unskilled non res,1,none,yes,0
existing paid,1542.0,<100,5,2.0,none,4,car,36,none,own,1,skilled,1,yes,yes,1
critical/other existing credit,3850.0,<100,5,3.0,none,1,car,27,none,own,2,skilled,1,none,yes,1
existing paid,3650.0,<100,0,1.0,none,4,car,22,none,rent,1,skilled,1,none,yes,1
existing paid,3446.0,<100,7,4.0,none,2,car,42,none,own,1,skilled,2,none,yes,0
existing paid,3001.0,<100,5,2.0,none,4,real estate,40,none,rent,1,skilled,1,none,yes,1
existing paid,3079.0,no known savings,2,4.0,none,4,real estate,36,none,own,1,skilled,1,none,yes,1
critical/other existing credit,6070.0,<100,7,3.0,none,4,car,33,none,own,2,skilled,1,yes,yes,1
critical/other existing credit,2146.0,<100,0,1.0,none,3,real estate,23,none,rent,2,skilled,1,none,yes,1
critical/other existing credit,13756.0,no known savings,7,2.0,none,4,no known property,63,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,1
all paid,14782.0,100<=X<500,7,3.0,none,4,no known property,60,bank,for free,2,high qualif/self emp/mgmt,1,yes,yes,0
all paid,7685.0,<100,5,2.0,guarantor,4,car,37,none,rent,1,skilled,1,none,yes,0
delayed previously,2320.0,<100,0,2.0,none,3,real estate,34,none,own,2,skilled,1,none,yes,1
delayed previously,846.0,no known savings,7,3.0,none,4,no known property,36,none,for free,1,skilled,1,none,yes,1
existing paid,14318.0,<100,7,4.0,none,2,no known property,57,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,0
critical/other existing credit,362.0,100<=X<500,2,4.0,none,4,car,52,none,own,2,unskilled resident,1,none,yes,1
existing paid,2212.0,no known savings,5,4.0,none,4,car,39,none,own,1,skilled,1,yes,yes,1
existing paid,12976.0,<100,0,3.0,none,4,no known property,38,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,0
existing paid,1283.0,no known savings,5,4.0,none,4,life insurance,25,none,rent,1,skilled,1,none,yes,1
existing paid,1330.0,<100,0,4.0,none,1,real estate,26,none,own,1,skilled,1,none,yes,1
delayed previously,4272.0,100<=X<500,2,2.0,none,2,life insurance,26,none,own,2,unskilled resident,1,none,yes,1
critical/other existing credit,2238.0,<100,2,2.0,none,1,car,25,none,own,2,skilled,1,none,yes,1
existing paid,1126.0,no known savings,0,4.0,none,2,real estate,21,none,rent,1,skilled,1,yes,yes,1
critical/other existing credit,7374.0,<100,0,4.0,none,4,life insurance,40,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,1
critical/other existing credit,2326.0,500<=X<1000,2,2.0,none,4,car,27,bank,own,1,skilled,1,none,yes,1
existing paid,1449.0,<100,5,3.0,none,2,car,27,none,own,2,skilled,1,none,yes,1
existing paid,1820.0,<100,2,2.0,none,2,life insurance,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,983.0,>=1000,0,1.0,none,4,real estate,19,none,rent,1,unskilled resident,1,none,yes,1
existing paid,3249.0,<100,5,2.0,none,4,no known property,39,bank,for free,1,high qualif/self emp/mgmt,2,yes,yes,1
critical/other existing credit,1957.0,<100,5,1.0,none,4,car,31,none,own,1,skilled,1,none,yes,1
critical/other existing credit,2406.0,<100,0,2.0,none,3,car,31,none,own,1,high qualif/self emp/mgmt,1,none,yes,1
delayed previously,11760.0,100<=X<500,5,2.0,none,3,no known property,32,none,rent,1,skilled,1,yes,yes,1
existing paid,2578.0,<100,0,3.0,none,4,no known property,55,none,for free,1,high qualif/self emp/mgmt,1,none,yes,1
critical/other existing credit,2348.0,<100,2,3.0,none,2,life insurance,46,none,own,2,skilled,1,yes,yes,1
existing paid,1223.0,<100,7,1.0,none,1,real estate,46,none,rent,2,skilled,1,none,yes,0
critical/other existing credit,1516.0,>=1000,2,4.0,none,1,real estate,43,none,own,2,unskilled resident,1,none,yes,1
existing paid,1473.0,<100,0,3.0,none,4,real estate,39,none,own,1,skilled,1,yes,yes,1
critical/other existing credit,1887.0,no known savings,2,4.0,none,4,real estate,28,bank,own,2,skilled,1,none,yes,1
delayed previously,8648.0,<100,0,2.0,none,2,car,27,bank,own,2,skilled,1,yes,yes,0
delayed previously,802.0,<100,2,4.0,none,2,car,27,none,own,2,unskilled resident,1,none,yes,1
delayed previously,2899.0,no known savings,7,4.0,none,4,car,43,none,own,1,skilled,2,none,yes,1
existing paid,2039.0,<100,0,1.0,none,1,life insurance,22,none,own,1,skilled,1,yes,yes,0
critical/other existing credit,2197.0,no known savings,5,4.0,none,4,car,43,none,own,2,skilled,2,yes,yes,1
existing paid,1053.0,<100,0,4.0,none,2,real estate,27,none,own,1,skilled,1,none,no,1
existing paid,3235.0,500<=X<1000,7,3.0,none,2,car,26,none,own,1,high qualif/self emp/mgmt,1,yes,yes,1
critical/other existing credit,939.0,500<=X<1000,5,4.0,none,2,real estate,28,none,own,3,skilled,1,yes,yes,0
existing paid,1967.0,<100,7,4.0,none,4,car,20,none,own,1,skilled,1,yes,yes,1
critical/other existing credit,7253.0,<100,5,3.0,none,2,car,35,none,own,2,high qualif/self emp/mgmt,1,yes,yes,1
critical/other existing credit,2292.0,<100,0,4.0,none,2,car,42,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,0
existing paid,1597.0,500<=X<1000,2,3.0,none,2,no known property,40,none,rent,1,unskilled resident,2,none,no,1
existing paid,1381.0,no known savings,2,4.0,none,2,life insurance,35,none,own,1,skilled,1,none,yes,0
critical/other existing credit,5842.0,<100,7,2.0,none,2,life insurance,35,none,own,2,skilled,2,yes,yes,1
existing paid,2579.0,<100,0,4.0,none,1,real estate,33,none,own,1,unskilled resident,2,none,yes,0
delayed previously,8471.0,no known savings,2,1.0,none,2,car,23,none,rent,2,skilled,1,yes,yes,1
existing paid,2782.0,500<=X<1000,5,1.0,none,2,car,31,bank,own,1,high qualif/self emp/mgmt,1,none,yes,1
existing paid,1042.0,no known savings,2,4.0,none,2,life insurance,33,none,own,1,skilled,1,none,yes,0
existing paid,3186.0,>=1000,5,2.0,none,3,car,20,none,rent,1,skilled,1,none,yes,1
existing paid,2028.0,no known savings,2,4.0,none,2,car,30,none,own,1,skilled,1,none,yes,1
critical/other existing credit,958.0,<100,5,2.0,none,3,real estate,47,none,own,2,unskilled resident,2,none,yes,1
delayed previously,1591.0,100<=X<500,5,4.0,none,3,real estate,34,none,own,2,high qualif/self emp/mgmt,1,none,yes,1
existing paid,2762.0,no known savings,7,1.0,none,2,life insurance,25,bank,own,1,skilled,1,yes,yes,0
existing paid,2779.0,<100,2,1.0,none,3,car,21,none,rent,1,skilled,1,yes,yes,1
critical/other existing credit,2743.0,<100,7,4.0,none,2,car,29,none,own,2,skilled,1,none,yes,1
critical/other existing credit,1149.0,>=1000,2,4.0,none,3,real estate,46,none,own,2,skilled,1,none,yes,1
existing paid,1313.0,<100,7,1.0,none,4,car,20,none,own,1,skilled,1,none,yes,1
critical/other existing credit,1190.0,<100,0,2.0,none,4,no known property,55,none,for free,3,unemp/unskilled non res,2,none,yes,0
existing paid,3448.0,<100,5,1.0,none,4,real estate,74,none,own,1,unskilled resident,1,none,yes,1
existing paid,11328.0,<100,2,2.0,co applicant,3,car,29,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,0
critical/other existing credit,1872.0,<100,0,4.0,none,4,no known property,36,none,for free,3,high qualif/self emp/mgmt,1,yes,yes,1
critical/other existing credit,2058.0,<100,2,4.0,none,2,real estate,33,none,own,2,skilled,1,yes,yes,1
existing paid,2136.0,<100,2,3.0,none,2,real estate,25,none,own,1,skilled,1,none,yes,1
existing paid,1484.0,no known savings,2,2.0,none,1,real estate,25,none,own,1,skilled,1,yes,yes,0
existing paid,660.0,500<=X<1000,5,2.0,none,4,real estate,23,none,rent,1,unskilled resident,1,none,yes,1
critical/other existing credit,1287.0,>=1000,7,4.0,none,4,real estate,37,none,own,2,skilled,1,yes,yes,1
critical/other existing credit,3394.0,<100,0,4.0,co applicant,4,car,65,none,own,2,unemp/unskilled non res,1,none,yes,1
all paid,609.0,<100,0,4.0,none,1,real estate,26,none,own,1,unemp/unskilled non res,1,none,yes,0
existing paid,1884.0,<100,7,4.0,none,4,car,39,none,own,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,1620.0,<100,2,2.0,co applicant,3,life insurance,30,none,own,1,skilled,1,none,yes,1
delayed previously,2629.0,<100,2,2.0,none,3,car,29,bank,own,2,skilled,1,yes,yes,1
existing paid,719.0,<100,7,4.0,none,4,car,41,bank,own,1,unskilled resident,2,none,yes,0
critical/other existing credit,5096.0,<100,2,2.0,none,3,car,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,0
critical/other existing credit,1244.0,no known savings,7,4.0,none,4,life insurance,41,none,rent,2,unskilled resident,1,none,yes,1
existing paid,1842.0,<100,0,4.0,none,4,car,34,none,own,1,skilled,1,yes,yes,0
existing paid,2576.0,<100,2,2.0,guarantor,2,real estate,35,none,own,1,skilled,1,none,yes,1
existing paid,1424.0,no known savings,7,3.0,none,4,real estate,55,none,own,1,high qualif/self emp/mgmt,1,yes,yes,1
delayed previously,1512.0,>=1000,2,3.0,none,3,life insurance,61,stores,own,2,skilled,1,none,yes,0
critical/other existing credit,11054.0,no known savings,2,4.0,none,2,car,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,518.0,<100,2,3.0,none,1,real estate,29,none,own,1,skilled,1,none,yes,1
no credits/all paid,2759.0,<100,7,2.0,none,4,life insurance,34,none,own,2,skilled,1,none,yes,1
existing paid,2670.0,<100,7,4.0,none,4,car,35,none,own,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,4817.0,<100,5,2.0,co applicant,3,life insurance,31,none,own,1,skilled,1,yes,yes,0
existing paid,2679.0,<100,0,4.0,none,1,no known property,29,none,own,1,high qualif/self emp/mgmt,1,yes,yes,1
critical/other existing credit,3905.0,<100,2,2.0,none,2,real estate,36,none,rent,2,skilled,2,none,yes,1
existing paid,3386.0,<100,7,3.0,none,4,no known property,35,none,for free,1,skilled,1,yes,yes,0
existing paid,343.0,<100,0,4.0,none,1,real estate,27,none,own,1,skilled,1,none,yes,1
existing paid,4594.0,<100,0,3.0,none,2,car,32,none,own,1,skilled,1,yes,yes,1
existing paid,3620.0,<100,2,1.0,guarantor,2,life insurance,37,none,own,1,skilled,2,none,yes,1
existing paid,1721.0,<100,0,2.0,none,3,real estate,36,none,own,1,skilled,1,none,yes,1
existing paid,3017.0,<100,0,3.0,none,1,real estate,34,none,rent,1,high qualif/self emp/mgmt,1,none,yes,1
existing paid,754.0,no known savings,7,4.0,none,4,life insurance,38,none,own,2,skilled,1,none,yes,1
existing paid,1950.0,<100,5,4.0,none,1,car,34,stores,own,2,skilled,1,yes,yes,1
existing paid,2924.0,<100,2,3.0,guarantor,4,no known property,63,bank,own,1,skilled,2,yes,yes,1
delayed previously,1659.0,<100,0,4.0,none,2,car,29,none,rent,1,unskilled resident,1,yes,yes,0
delayed previously,7238.0,no known savings,7,3.0,none,3,car,32,bank,own,2,skilled,2,none,yes,1
delayed previously,2764.0,<100,2,2.0,none,2,car,26,none,own,2,skilled,1,yes,yes,1
delayed previously,4679.0,<100,5,3.0,none,3,car,35,none,own,2,unskilled resident,1,yes,yes,1
existing paid,3092.0,100<=X<500,0,3.0,none,2,car,22,none,rent,1,skilled,1,yes,yes,0
existing paid,448.0,<100,0,4.0,none,4,life insurance,23,none,own,1,skilled,1,none,yes,0
existing paid,654.0,<100,2,4.0,none,3,car,28,none,own,1,unskilled resident,1,none,yes,0
existing paid,1238.0,no known savings,0,4.0,none,4,life insurance,36,none,own,1,high qualif/self emp/mgmt,2,yes,yes,1
critical/other existing credit,1245.0,<100,2,4.0,none,2,car,33,none,own,1,skilled,1,none,yes,0
no credits/all paid,3114.0,<100,0,1.0,none,4,life insurance,26,none,rent,1,skilled,1,none,yes,0
existing paid,2569.0,500<=X<1000,2,4.0,none,4,car,24,none,own,1,skilled,1,none,yes,1
existing paid,5152.0,<100,5,4.0,none,2,car,25,bank,own,1,skilled,1,none,yes,1
existing paid,1037.0,100<=X<500,5,3.0,none,4,real estate,39,none,own,1,unskilled resident,1,none,yes,1
critical/other existing credit,1478.0,<100,7,4.0,none,4,car,44,none,own,2,skilled,2,yes,yes,1
critical/other existing credit,3573.0,<100,2,1.0,none,1,real estate,23,none,own,1,unskilled resident,1,none,yes,1
existing paid,1201.0,<100,0,4.0,none,1,life insurance,26,none,own,1,skilled,1,none,yes,1
existing paid,3622.0,>=1000,7,4.0,none,4,life insurance,57,none,rent,2,skilled,1,yes,yes,1
delayed previously,960.0,>=1000,5,3.0,none,2,life insurance,30,none,own,2,skilled,1,none,yes,1
critical/other existing credit,1163.0,500<=X<1000,2,4.0,none,4,real estate,44,none,own,1,skilled,1,yes,yes,1
delayed previously,1209.0,<100,0,4.0,none,4,life insurance,47,none,own,1,high qualif/self emp/mgmt,1,yes,yes,0
existing paid,3077.0,<100,2,2.0,none,4,car,52,none,own,1,skilled,1,yes,yes,1
existing paid,3757.0,<100,7,4.0,co applicant,4,no known property,62,none,for free,1,skilled,1,yes,yes,1
existing paid,1418.0,100<=X<500,2,3.0,none,2,real estate,35,none,rent,1,unskilled resident,1,none,no,1
existing paid,3518.0,<100,2,2.0,guarantor,3,life insurance,26,none,rent,1,skilled,1,none,yes,1
critical/other existing credit,1934.0,<100,7,2.0,none,2,no known property,26,none,own,2,skilled,1,none,yes,1
no credits/all paid,8318.0,<100,7,2.0,none,4,no known property,42,none,for free,2,high qualif/self emp/mgmt,1,yes,yes,0
critical/other existing credit,1237.0,100<=X<500,2,1.0,none,1,life insurance,27,none,own,2,skilled,1,none,yes,1
existing paid,368.0,no known savings,7,4.0,none,4,life insurance,38,none,own,1,skilled,1,none,yes,1
critical/other existing credit,2122.0,<100,2,3.0,none,2,real estate,39,none,rent,2,unskilled resident,2,none,no,1
existing paid,2996.0,no known savings,2,2.0,none,4,car,20,none,own,1,skilled,1,none,yes,0
existing paid,9034.0,100<=X<500,0,4.0,co applicant,1,no known property,29,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,0
critical/other existing credit,1585.0,<100,5,4.0,none,3,life insurance,40,none,own,2,skilled,1,none,yes,1
existing paid,1301.0,<100,7,4.0,guarantor,2,real estate,32,none,own,1,unskilled resident,1,none,yes,1
critical/other existing credit,1323.0,100<=X<500,7,2.0,none,4,car,28,none,own,2,skilled,2,yes,yes,1
existing paid,3123.0,<100,0,4.0,none,1,life insurance,27,none,own,1,skilled,1,none,yes,0
existing paid,5493.0,<100,7,2.0,none,4,no known property,42,none,for free,1,skilled,2,none,yes,1
existing paid,1126.0,100<=X<500,7,2.0,none,4,real estate,49,none,own,1,skilled,1,none,yes,1
critical/other existing credit,1216.0,100<=X<500,0,4.0,none,4,no known property,38,bank,own,2,skilled,2,none,yes,0
existing paid,1207.0,<100,0,4.0,none,4,life insurance,24,none,rent,1,skilled,1,none,yes,0
existing paid,1309.0,no known savings,2,4.0,guarantor,4,life insurance,27,none,own,1,unskilled resident,1,none,yes,0
critical/other existing credit,2360.0,500<=X<1000,2,2.0,none,2,car,36,none,own,1,skilled,1,yes,yes,1
all paid,6850.0,100<=X<500,0,1.0,none,2,life insurance,34,none,own,1,high qualif/self emp/mgmt,2,yes,yes,0
existing paid,1413.0,<100,2,4.0,none,2,life insurance,28,none,own,1,skilled,1,none,yes,1
existing paid,8588.0,100<=X<500,7,4.0,none,2,car,45,none,own,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,759.0,<100,5,4.0,none,2,real estate,26,none,own,1,skilled,1,none,yes,0
existing paid,4686.0,<100,2,2.0,none,2,no known property,32,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,2687.0,<100,5,2.0,none,4,life insurance,26,none,rent,1,skilled,1,yes,yes,1
delayed previously,585.0,<100,2,4.0,co applicant,4,real estate,20,none,rent,2,skilled,1,none,yes,1
existing paid,2255.0,no known savings,0,4.0,none,1,life insurance,54,none,own,1,skilled,1,none,yes,1
critical/other existing credit,609.0,<100,5,4.0,none,3,life insurance,37,none,own,2,skilled,1,none,no,1
critical/other existing credit,1361.0,<100,0,2.0,none,4,real estate,40,none,own,1,unskilled resident,2,none,no,1
critical/other existing credit,7127.0,<100,0,2.0,none,4,life insurance,23,none,rent,2,skilled,1,yes,yes,0
